name;category;brand;price;article;description
Osculati 01.128.10 - Якорь из оцинкованной стали Lewmar Epsilon 10 кг;Oскулати;Бренд не указан;50 524 руб.;OS-01.128.10;Якорь Osculati Lewmar Epsilon 10 кг (артикул 01.128.10), выполненный из оцинкованной стали, является отличным выбором для надежного закрепления вашей лодки в любых условиях. Этот якорь разработан на основе проверенного якоря Delta® и сочетает в себе вогнутую лапу и балластный киль, что обеспечивает превосходное удержание и стабильность. Его конструкция полностью совместима с носовыми роликами Lewmar, что упрощает его использование. Дополнительная дуга безопасности делает якорь подходящим для парусных лодок, предотвращая возможные аварийные ситуации. Наконечник с балластом гарантирует быстрое и надежное захватывание дна, а использование высококачественных материалов, таких как марганцевая сталь и нержавеющая сталь AISI 316, обеспечивает долговечность и надежность. Якорь доступен в различных вариантах веса от 6 до 63 кг, что позволяет выбрать наиболее подходящий вариант для вашей лодки.
Osculati 01.103.18 - Якорь Холла из оцинкованной чугуна 16кг 330x310 мм;Oскулати;Бренд не указан;27 034 руб.;OS-01.103.18;Якорь Холла Osculati (артикул 01.103.18) изготовлен из оцинкованного чугуна и имеет вес 16 кг, что обеспечивает ему отличную прочность и надежность в различных морских условиях. Его конструкция, включающая размеры 330 мм в ширину, 310 мм в длину и 230 мм в глубину, обеспечивает устойчивое сцепление с дном и эффективное удержание судна. Оцинкованная поверхность якоря защищает его от коррозии, увеличивая срок службы и поддерживая надежность эксплуатации. Этот якорь идеально подходит для использования на различных типах судов, предоставляя надежное решение для крепления и безопасности при якорении.
Osculati 01.111.02 - Якорь из анодированного алюминия LEWMAR LFX 6 мм 2 кг;Oскулати;Бренд не указан;46 232 руб.;OS-01.111.02;Якорь Osculati 01.111.02 LEWMAR LFX из анодированного алюминия, весом 2 кг, является отличным выбором для небольших судов, требующих надежного и легкого якоря. Изготовленный из высококачественного анодированного алюминия, этот якорь предлагает отличную коррозионную стойкость и долговечность, что делает его идеальным для использования в морской среде. Несмотря на компактные размеры и малый вес, он обеспечивает высокую эффективность даже при значительных нагрузках. Удобная конструкция позволяет разбирать якорь для удобного хранения на борту, а рекомендованный калибр цепи составляет 6 мм. Этот якорь предназначен для судов длиной до 8 метров и может быть дополнен сумкой для хранения (опция 01.098.01).
Osculati 01.108.32 - Якорь LEWMAR Delta® из оцинкованной стали 32 кг;Oскулати;Бренд не указан;124 685 руб.;OS-01.108.32;Якорь Osculati 01.108.32 LEWMAR Delta® из оцинкованной стали весом 32 кг предназначен для обеспечения надежной фиксации судов в различных условиях. Этот якорь обладает выдающейся способностью к захвату любого типа морского дна, включая участки с водорослями, что делает его универсальным выбором для различных морских условий. Он быстро восстанавливает свое удержание при движении судна или при изменении его положения, предотвращая подрыв якоря. Его конструкция позволяет улучшать удержание при увеличении силы ветра, что обеспечивает дополнительную стабильность и безопасность в нестабильную погоду. Якорь подтвержден сертификацией Lloyd's как якорь с высокой удерживающей способностью и обеспечивает пожизненную гарантию на разрыв. Рекомендуется использовать с цепью диаметром 10 мм и подходит для судов длиной до 18,5 метров. Размеры якоря составляют 1026 мм в длину, 455 мм в ширину, 16 мм в толщину, 774 мм в глубину и 417 мм в высоту.
Osculati 01.740.12 - Вертлюг якорный Maxi 140мм для цепи 12-14мм из нержавеющей стали AISI316;Oскулати;Osculati;15 268 руб.;OS-01.740.12;Вертлюг якорный Osculati 01.740.12 представляет собой надежное и прочное соединение для якорных цепей диаметром 12-14 мм, выполненное из зеркально отполированной нержавеющей стали AISI316. Эта модель, известная как Maxi, предназначена для использования в тяжелых морских условиях, обеспечивая надежное и плавное соединение между цепью и якорем. Он сконструирован таким образом, чтобы цепь могла легко скользить через носовой ролик, исключая вероятность зацепления скобы и повышая удобство эксплуатации. Усиленная конструкция и высокая коррозионная стойкость вертлюга гарантируют его долговечность и надежную работу в условиях постоянного воздействия воды и соли. Вертлюг обеспечивает отличную функциональность и стойкость, что делает его идеальным выбором для высоконагруженных морских приложений.
Osculati 01.119.34 - Страховочное устройство Chain Stopper Delux - штамповка и точное литье 6/8 мм;Oскулати;Бренд не указан;5 585 руб.;OS-01.119.34;Страховочное устройство Osculati 01.119.34 Chain Stopper Delux предназначено для фиксации якорной цепи, предотвращая её самопроизвольную отдачу во время плавания и защищая лебедку от рывковых воздействий во время якорной стоянки. Изготовленное методом штамповки и точного литья, это устройство сочетает в себе высокую прочность и долговечность. Chain Stopper легко разблокируется простым движением, что обеспечивает удобство и простоту в использовании. Оно подходит для якорных цепей диаметром 6/8 мм и имеет основание размером 60x50 мм с вылетом 47 мм, что делает его универсальным решением для различных типов судов. Это надежное и качественное устройство обеспечивает безопасность и комфорт во время плавания и стоянки.
Osculati 01.346.64 - Запасной шкив диаметром 87 мм из нержавеющей стали AISI 316 для роульсов;Oскулати;Бренд не указан;10 434 руб.;OS-01.346.64;Запасной шкив диаметром 87 мм из нержавеющей стали AISI 316 Osculati 01.346.64 предназначен для замены старых или поврежденных шкивов в носовых роульсах, обеспечивая надежную работу и долговечность. Этот шкив имеет диаметр 87 мм, ширину 54 мм и отверстие диаметром 12,4 мм, что делает его совместимым с моделями роульсов 01.339.20 и 01.341.96. Изготовленный из нержавеющей стали AISI 316, шкив отличается исключительной устойчивостью к коррозии и механическим повреждениям, что гарантирует его надежную эксплуатацию даже в сложных морских условиях. Такой шкив обеспечивает эффективное распределение нагрузок и поддерживает бесперебойную работу швартовочной системы, что делает его отличным выбором для долгосрочного и надежного использования на судне.
Osculati 01.108.50 - Якорь LEWMAR Delta® из оцинкованной стали 50 кг;Oскулати;Osculati;181 955 руб.;OS-01.108.50;Якорь LEWMAR Delta® из оцинкованной стали Osculati 01.108.50, весом 50 кг, представляет собой надежное решение для безопасного закрепления судна в любых морских условиях. Благодаря своей исключительной удерживающей способности, он уверенно захватывает любое морское дно, включая участки с водорослями. Конструкция якоря обеспечивает быструю восстановление удержания даже при изменении положения судна или его вращении, что предотвращает его подрыв. Он также улучшает свои характеристики при увеличении силы ветра, гарантируя надежность даже в сложных погодных условиях. Сертифицированный Lloyd's как якорь с высокой удерживающей способностью, этот продукт имеет пожизненную гарантию от поломок. Он подходит для использования с цепью диаметром 12 мм и рекомендуется для судов длиной до 23 метров. Размеры якоря составляют 1175 мм в длину, 520 мм в ширину, 20 мм в толщину, 890 мм в глубину и 479 мм в высоту.
Osculati 01.353.06 - Клюз роликовый из нержавеющей стали AISI 316 248 x 148 мм;Oскулати;Бренд не указан;52 175 руб.;OS-01.353.06;Клюз роликовый Osculati 01.353.06 изготовлен из полированной нержавеющей стали AISI 316, что гарантирует его долговечность и стойкость к коррозии в морской среде. С наружными размерами 248 x 148 мм и глубиной 180 мм, этот клюз предназначен для надежного и безопасного прохождения тросов и канатов. Он оснащен обрезным кольцом, которое позволяет адаптировать его под толщину корпуса судна до 80 мм, обеспечивая идеальную посадку и защиту от воздействия воды. Размер обрезного отверстия составляет 190 x 92 мм, что предоставляет достаточно пространства для удобного использования. Клюз оборудован 6 болтами для надежной установки и крепления. Его прочная конструкция и элегантный дизайн делают его отличным выбором для различных типов судов и яхт, сочетая функциональность и эстетическое оформление.
Якорный роульс Osculati свободного падения;Якоря;Osculati;6 967 руб.;OSC-01.332.01;Компактное и высококачественное устройство, изготовленное из полированной нержавеющей стали. Шкивы роульса выполнены из прочного полиамида. Идеально подходит для якорей весом до 10 кг. Обеспечивает надежное и плавное опускание якоря, а также удобство и простоту в использовании.
Osculati 01.700.01 - Якорный комплект трос - цепь - соединение и якорь складной кошка 4 кг для судов длиной 4 - 6 м;Oскулати;Бренд не указан;16 410 руб.;OS-01.700.01;"Комплект якорного оборудования Osculati 01.700.01 представляет собой готовое решение для эффективного и удобного крепления якоря на небольших судах длиной от 4 до 6 метров. В набор входит складной якорь типа ""кошачий"" весом 4 кг, который обеспечивает надежное удержание судна даже в условиях сильного течения или ветра. Комплект также включает цепь диаметром 6 мм и длиной 5 метров, идеально подходящую для использования с якорем, а также прочное генуэзское соединение длиной 35 см и диаметром 10 мм, которое соединяет цепь с тросом. Гальванизированный скоб диаметром 8 мм надежно фиксирует якорь и цепь, обеспечивая прочное соединение. Все элементы комплекта поставляются в готовом к использованию виде, что упрощает установку и эксплуатацию. Этот комплект является надежным выбором для судов с лебедкой, обеспечивая безопасность и стабильность при плавании в различных условиях."
Osculati 01.333.03 - Роульс откидной для якорей до 20кг 495x90x150мм из нержавеющей стали AISI316;Oскулати;Бренд не указан;34 067 руб.;OS-01.333.03;Роульс Osculati 01.333.03 — это откидной роульс, предназначенный для якорей массой до 20 кг, который изготовлен из высококачественной полированной нержавеющей стали AISI316. Этот материал обеспечивает исключительную прочность и долговечность, а также стойкость к коррозии, что особенно важно для использования в морских условиях. С размерами 495 мм в длину, 90 мм в ширину и 150 мм в высоту, роульс оснащен нейлоновыми шкивами, которые гарантируют плавное и бесшумное движение якоря. Толщина пластины составляет 5 мм, что придает устройству дополнительную прочность и надежность. Универсальный дизайн позволяет использовать его с различными типами якорей, включая DELTA, BRUCE, TREFOIL, CQR и SOC, обеспечивая универсальность и надежность в эксплуатации. Этот роульс идеально подходит для обеспечения стабильной работы якоря и предотвращения его повреждений даже при значительных нагрузках.
Osculati 01.339.10 - Роульс носовой из нержавеющей стали AISI 316 410 x 85 x 62 мм масса якоря до 12 кг;Oскулати;Бренд не указан;64 463 руб.;OS-01.339.10;Роульс носовой Osculati 01.339.10 изготовлен из высококачественной нержавеющей стали AISI 316 с зеркальной полировкой, что обеспечивает отличную устойчивость к коррозии и долговечность. Этот роульс предназначен для установки на носовой части лодки и обладает широкой перекладиной, предотвращающей касание якоря с носом судна, что способствует более безопасной и эффективной эксплуатации. Оснащенный стальными шкивами, роульс подходит для различных типов якорей, включая CQR, Bruce, Danforth, Trefoil® и Delta, и способен выдерживать якоря весом до 12 кг. Он также совместим с цепями диаметром от 6 до 8 мм. Размеры роульса составляют 410 мм в длину, 85 мм в ширину и 62 мм в высоту, что делает его идеальным для использования на различных типах судов и обеспечивает надежную фиксацию якоря и его эффективное управление.
Osculati 01.144.22 - Якорь-плуг из сверхпрочной стали 1050 x 360 мм 22 кг;Oскулати;Бренд не указан;28 672 руб.;OS-01.144.22;Якорь-плуг Osculati 01.144.22 выполнен из сверхпрочной горячецинкованной стали, что обеспечивает ему исключительную прочность и долговечность. С размерами 1050 мм в длину, 360 мм в ширину и 490 мм в высоту, а также весом 22 кг, этот якорь способен обеспечить надежное удержание судна на различных типах морского дна. Его конструкция, аналогичная якорям типа CQR, гарантирует отличные результаты на песчаном, иловом и гравийном дне. Толстая стальная пластина и защитное цинковое покрытие защищают от коррозии и износа, что обеспечивает долгий срок службы даже в самых сложных условиях эксплуатации. Якорь-плуг Osculati 01.144.22 предназначен для обеспечения стабильности и безопасности вашего судна при сильных течениях и бурях, предоставляя надежное сцепление и устойчивость.
Osculati 01.336.03 - Роульс с двойным шкивом из нержавеющей стали 670 x 340 x 170 мм 16 - 25 кг;Oскулати;Бренд не указан;86 329 руб.;OS-01.336.03;Роульс Osculati 01.336.03 представляет собой высококачественное оборудование для яхт, предназначенное для работы с якорями Delta, Bruce и Trefoil®. Изготовленный из зеркально отполированной нержавеющей стали AISI, этот роульс обеспечивает надежность и долговечность в морских условиях. Оснащенный двойным шкивом, он облегчает управление якорем и обеспечивает его плавное и безопасное перемещение. Габариты роульса составляют 670 мм в длину, 340 мм в ширину и 170 мм в высоту, что делает его подходящим для якорей весом от 16 до 25 кг. Дополнительно, для полноценного использования роульса, рекомендуется приобрести комплект для хранения якоря (модель 01.339.21), который включает в себя необходимые элементы для установки и использования. Этот роульс не поставляется с комплектом для хранения якоря, поэтому его необходимо заказывать отдельно.
Osculati 01.710.01 - Якорный комплект трос - цепь - соединение и якорь холла 4.2 кг для яхт длиной 4 - 6 м;Oскулати;Бренд не указан;16 897 руб.;OS-01.710.01;Комплект якорного оборудования Osculati 01.710.01 предназначен для эффективного якорения яхт длиной от 4 до 6 метров. Включая якорь Холла весом 4,2 кг, этот комплект обеспечивает надежное удержание судна в различных условиях, включая сильное течение и ветер. В комплект входят цепь диаметром 6 мм и длиной 5 метров, которая надежно соединяет якорь с тросом. Генуэзское соединение длиной 35 см и диаметром 10 мм обеспечивает прочное и безопасное соединение цепи с тросом, в то время как гальванизированный скоб диаметром 8 мм фиксирует все элементы на месте. Все компоненты поставляются в готовом к использованию виде, что упрощает установку и эксплуатацию, делая комплект идеальным выбором для владельцев яхт, которым необходим надежный и простой в использовании якорный набор.
Osculati 01.114.05 - Якорь адмиралтейского типа  382x380мм 5кг;Oскулати;Osculati;7 444 руб.;OS-01.114.05;Якорь адмиралтейского типа Osculati 01.114.05 представляет собой надежное и практичное решение для обеспечения устойчивости вашего судна. Изготовленный из стали горячего цинкования, он отличается высокой коррозионной стойкостью и долговечностью. Этот якорь имеет складные лапы, что позволяет легко хранить его в ограниченном пространстве на борту. Его размеры составляют 382 мм по длине и 380 мм по ширине, при этом вес якоря равен 5 кг, что делает его подходящим для различных типов лодок и катеров. Благодаря прочной конструкции и удобству хранения, этот якорь станет надежным дополнением к оборудованию вашего судна.
Osculati 01.144.09 - Якорь-плуг из сверхпрочной стали 780 x 280 мм 9 кг;Oскулати;Бренд не указан;11 678 руб.;OS-01.144.09;Якорь-плуг Osculati 01.144.09 изготовлен из сверхпрочной стали с горячим цинкованием, что обеспечивает ему выдающуюся прочность и долговечность. С размерами 780 мм в длину, 280 мм в ширину и 410 мм в высоту, а также весом 9 кг, этот якорь предлагает отличную эффективность на различных типах морского дна. Его конструкция аналогична якорям типа CQR, что обеспечивает превосходное удержание в самых сложных условиях, включая сильные течения и разнообразные грунты. Толстая стальная пластина и защитное цинковое покрытие защищают якорь от коррозии, гарантируя долгий срок службы и надежность. Этот якорь-плуг является отличным выбором для обеспечения стабильности и безопасности вашего судна в различных морских условиях.
Osculati 01.111.07 - Якорь из анодированного алюминия LEWMAR LFX 10 мм 7 кг;Oскулати;Бренд не указан;136 936 руб.;OS-01.111.07;Якорь Osculati 01.111.07 LEWMAR LFX из анодированного алюминия весом 7 кг предназначен для судов до 14 метров. Изготовленный из прочного анодированного алюминия, он обеспечивает отличную коррозионную стойкость и долговечность, что делает его идеальным выбором для морских условий. Несмотря на свой легкий вес, якорь обладает впечатляющими рабочими характеристиками, обеспечивая надежное удержание судна даже при высоких нагрузках. Конструкция позволяет легко разбирать якорь для удобства хранения и транспортировки. Рекомендуемый калибр цепи для этого якоря составляет 10 мм, а также доступна опциональная сумка для хранения (артикул 01.098.02).
Osculati 01.335.10 - Роульс носовой с коромыслом из анодированного алюминия 365 x 88 x 60 мм;Oскулати;Бренд не указан;27 143 руб.;OS-01.335.10;Osculati 01.335.10 — это высококачественный носовой роульс с коромыслом, выполненный из анодированного и полированного алюминия, который обеспечивает исключительную прочность и устойчивость к коррозии, что делает его идеальным для использования в морских условиях. Его конструкция разработана с учетом универсальности, позволяя использовать роульс с различными типами якорей, такими как Danforth, Bruce, Trefoil®, CQR и Delta. Нейлоновый шкив обеспечивает плавное и тихое движение якорной цепи, снижая износ и продлевая срок службы оборудования. Благодаря продуманным размерам — длина 365 мм, ширина 88 мм, высота 60 мм — этот роульс легко интегрируется в систему якорного устройства, обеспечивая надежную фиксацию и удобство в эксплуатации. Подходит для якорей весом до 12 кг, что делает его отличным выбором для малых и средних судов.
Osculati 01.118.83 - Роульс носовой из нержавеющей стали 280 x 55 мм масса якоря до 15 кг;Oскулати;Бренд не указан;14 939 руб.;OS-01.118.83;Носовой роульс Osculati 01.118.83 выполнен из сатинированной нержавеющей стали, что гарантирует его высокую прочность и долговечность, а также защиту от коррозии и износа. Его шкив изготовлен из твердой резины, что обеспечивает надежное и бесшумное скольжение троса или цепи. Роульс имеет размеры 280 мм в длину и 55 мм в ширину, что делает его подходящим для поддержки якорей массой до 15 кг. Максимально допустимый диаметр троса составляет 24 мм, а цепи — 10 мм, что делает его универсальным для различных типов якорных систем. Для удобства замены изношенных деталей предусмотрен запасной ролик с кодом 01.218.82. Этот роульс сочетает в себе прочность, надежность и стильный внешний вид, что делает его отличным выбором для владельцев судов, ищущих качественное оборудование для закрепления якоря.
Osculati 01.519.02 - Запасной шкив для роульсов 49мм Ø13/61мм из белого нейлона;Oскулати;Бренд не указан;1 482 руб.;OS-01.519.02;Запасной шкив Osculati 01.519.02 выполнен из прочного белого нейлона, обеспечивая надежность и долговечность при эксплуатации в морских условиях. Он имеет диаметр 61 мм и ширину 49 мм, что делает его идеальным для использования в небольших роульсах модели 01.419.00. С отверстием диаметром 13 мм, этот шкив легко устанавливается и заменяет изношенные детали, гарантируя продолжение эффективной работы оборудования. Высокое качество материала и точная обработка деталей обеспечивают устойчивость к воздействию соли и влаги, что важно для долговечности шкива. Использование этого запасного шкива позволит поддерживать надежность и производительность вашего роульса, что особенно важно для безопасного и комфортного использования на воде.
Osculati 01.144.16 - Якорь-плуг из сверхпрочной стали 950 x 320 мм 16 кг;Oскулати;Бренд не указан;20 164 руб.;OS-01.144.16;Якорь-плуг Osculati 01.144.16, выполненный из сверхпрочной горячецинкованной стали, представляет собой высокоэффективное решение для надежной фиксации судна в любых условиях. С размерами 950 мм в длину, 320 мм в ширину и 500 мм в высоту, а также весом 16 кг, этот якорь обеспечивает отличное сцепление и стабильность даже на самых сложных типах морского дна. Его конструкция, схожая с якорями типа CQR, позволяет добиться превосходных результатов на песке, илом и гравии. Толстая стальная пластина и надежное цинковое покрытие защищают якорь от коррозии и износа, что гарантирует долгий срок службы и высокую эффективность. Этот якорь-плуг идеально подходит для использования в условиях сильных течений и бурь, обеспечивая надежную фиксацию и безопасность вашего судна.
Osculati 01.374.04-050 - Цепь генуэзского типа из нержавеющей стали AISI 316 длина 50 м диаметр 4 мм;Oскулати;Osculati;1 124 руб.;OS-01.374.04-050;Цепь Osculati 01.374.04-050 изготовлена из нержавеющей стали AISI 316, что обеспечивает ей отличные антикоррозионные свойства и долговечность даже в суровых морских условиях. Эта генуэзская цепь длиной 50 метров и диаметром 4 мм идеально подходит для фиксированной швартовки и причальной стоянки, где не требуется использование лебедки. Удлиненные звенья цепи облегчают её использование, а прочность материала позволяет выдерживать рабочую нагрузку до 200 кг и разрывную нагрузку до 800 кг. Вес цепи составляет всего 0,3 кг на метр, что делает её удобной для хранения и транспортировки в деревянных коробках или удобных упаковках. Цепь также маркируется отличительным знаком OSC на каждом метре, что подтверждает её высокое качество и соответствие стандартам.
Osculati 01.710.02 - Якорный комплект трос - цепь - соединение и якорь холла 6.2 кг для яхт длиной 5 - 7 м;Oскулати;Бренд не указан;22 899 руб.;OS-01.710.02;Комплект якорного оборудования Osculati 01.710.02 предназначен для надежного якорения яхт длиной от 5 до 7 метров и включает в себя все необходимые компоненты для быстрого и удобного использования. В комплект входит якорь Холла весом 6,2 кг, который обеспечивает прочное удержание судна даже в сложных условиях, таких как сильное течение или ветер. Цепь диаметром 6 мм и длиной 10 метров надежно соединяет якорь с тросом, а прочное генуэзское соединение длиной 35 см и диаметром 10 мм обеспечивает надежность этого соединения. Гальванизированный скоб диаметром 8 мм фиксирует все элементы на месте. Все компоненты поставляются в готовом к использованию виде, что упрощает установку и эксплуатацию, делая комплект идеальным выбором для владельцев яхт, которым необходим надежный и простой в использовании якорный набор.
Osculati 01.346.60 - Запасной шкив диаметром 88 мм из нержавеющей стали AISI 316 для роульсов;Oскулати;Бренд не указан;11 259 руб.;OS-01.346.60;Запасной шкив диаметром 88 мм из нержавеющей стали AISI 316 Osculati 01.346.60 предназначен для замены изношенных шкивов в носовых роульсах, обеспечивая надежную и долгосрочную эксплуатацию. С его диаметров 88 мм, шириной 60,5 мм и отверстием диаметром 14,2 мм, он идеально подходит для моделей роульсов 01.336.01 и 01.336.03. Изготовленный из высококачественной нержавеющей стали AISI 316, шкив обладает исключительной устойчивостью к коррозии и механическим повреждениям, что делает его идеальным для эксплуатации в морской среде. Этот шкив обеспечивает надежную работу швартовочной системы, защищая оборудование от износа и продлевая его срок службы.
Osculati 01.128.16 - Якорь из оцинкованной стали Lewmar Epsilon 16 кг;Oскулати;Бренд не указан;71 337 руб.;OS-01.128.16;Якорь Osculati Lewmar Epsilon 16 кг (артикул 01.128.16), изготовленный из оцинкованной стали, представляет собой высококачественное решение для надежного удержания вашей лодки в любых условиях. Этот якорь создан на основе знаменитого якоря Delta®, и его конструкция включает в себя вогнутую лапу и балластный киль, что обеспечивает исключительную удерживающую способность и легкость в настройке. Он сохраняет характеристики самоспуска и геометрию хвостовика, аналогичные оригинальной модели Delta®. Якорь изготовлен из прочных материалов, таких как марганцевая сталь и нержавеющая сталь AISI 316, что гарантирует его долговечность и надежность. Дополнительная дуга безопасности позволяет использовать его на парусных лодках, а наконечник с балластом обеспечивает быстрое и надежное схватывание дна. Якорь полностью совместим с носовыми роликами Lewmar и доступен в широком диапазоне весов от 6 кг до 63 кг, что позволяет подобрать идеальный вариант для вашей лодки.
Osculati 01.341.97 - Роульс самоблокирующий для якоря до 30 кг из нержавеющей стали 590 x 82 x 240 мм;Oскулати;Бренд не указан;89 928 руб.;OS-01.341.97;Роульс самоблокирующий Osculati 01.341.97 изготовлен из нержавеющей стали AISI 316 с зеркальной полировкой, что обеспечивает ему исключительную прочность и стойкость к коррозии. Этот роульс предназначен для якорей весом до 30 кг и идеально подходит для якорей типов Bruce и Trefoil®. Он оснащен прочным стальным шкивом, который не ломается, и стопором якоря в форме буквы U, что надежно фиксирует якорь на месте и предотвращает его случайное смещение. Размеры роульса составляют 590 мм в длину, 82 мм в ширину и 240 мм в высоту, что делает его универсальным для использования в различных морских условиях. Этот роульс обеспечивает надежное управление якорем, делая его идеальным выбором для профессиональных моряков и любителей водных путешествий.
Osculati 01.484.09 - Роульс носовой из нержавеющей стали AISI 316 со шкивом из полиамида 155 x 62 x 75 мм;Oскулати;Бренд не указан;6 746 руб.;OS-01.484.09;Роульс носовой Osculati 01.484.09 изготовлен из нержавеющей стали AISI 316 с зеркальной полировкой, что придает ему не только эстетичный вид, но и обеспечивает долговечность и устойчивость к коррозии. Оснащённый шкивом из прочного полиамида, он идеально подходит для плавного управления тросами и верёвками на носу лодки. С размерами 155 мм в длину, 62 мм в ширину и 75 мм в высоту, а также базой 90 x 62 мм, этот роульс обеспечивает надежное крепление и эффективную работу в морских условиях. Он легко справляется с нагрузками и требует минимального обслуживания. Для удобства эксплуатации предусмотрена возможность замены шкива, совместимого с запасной деталью 01.346.50.
